,id,name,description,created_at,gametype_id,updated_at
0,1,Epic Adventure,An epic quest in a fantasy world.,2024-03-18 00:00:00+00:00,1,2024-03-18 02:00:00+00:00
1,2,Space Odyssey,Explore the vastness of space in this immersive adventure.,2024-03-18 03:00:00+00:00,2,2024-03-18 05:00:00+00:00
2,3,Mystery Island,Uncover the secrets of a mysterious island.,2024-03-18 06:00:00+00:00,3,2024-03-18 08:00:00+00:00
3,4,Cybernetic Uprising,Fight against a rogue AI in a dystopian future.,2024-03-18 09:00:00+00:00,4,2024-03-18 11:00:00+00:00
4,5,Kingdoms at War,Engage in medieval warfare to expand your kingdom.,2024-03-18 12:00:00+00:00,1,2024-03-18 14:00:00+00:00
5,6,Space Quest,An adventure game set in space.,2024-03-27 12:18:58.706232+00:00,1,2024-03-27 12:18:58.706232+00:00
6,7,Mystic Forest,Explore the mysteries of a magical forest.,2024-03-27 12:18:58.706232+00:00,2,2024-03-27 12:18:58.706232+00:00
7,8,Dungeon Delve,A dungeon crawler with endless levels.,2024-03-27 12:18:58.706232+00:00,3,2024-03-27 12:18:58.706232+00:00
8,9,Racers Revolution,High-speed racing action with customizable cars.,2024-03-27 12:18:58.706232+00:00,4,2024-03-27 12:18:58.706232+00:00
9,10,Sky Battle,Aerial combat in the skies of different worlds.,2024-03-27 12:18:58.706232+00:00,5,2024-03-27 12:18:58.706232+00:00
10,11,Deep Sea Adventure,An exploration game set in the depths of the ocean.,2024-03-27 12:18:58.706232+00:00,6,2024-03-27 12:18:58.706232+00:00
11,12,Mountain Climb,Scale treacherous mountains in this climbing sim.,2024-03-27 12:18:58.706232+00:00,7,2024-03-27 12:18:58.706232+00:00
12,13,Desert Run,Survival racing across a vast desert landscape.,2024-03-27 12:18:58.706232+00:00,8,2024-03-27 12:18:58.706232+00:00
13,14,Cyber Hack,A cyberpunk hacking adventure game.,2024-03-27 12:18:58.706232+00:00,9,2024-03-27 12:18:58.706232+00:00
14,15,Pirate Seas,Embark on a journey as a pirate navigating the seas.,2024-03-27 12:18:58.706232+00:00,10,2024-03-27 12:18:58.706232+00:00
15,16,Zombie Apocalypse,Survive against hordes of zombies in a post-apocalyptic world.,2024-03-27 12:18:58.706232+00:00,11,2024-03-27 12:18:58.706232+00:00
16,17,Kingdoms Fall,A strategy game about the rise and fall of empires.,2024-03-27 12:18:58.706232+00:00,12,2024-03-27 12:18:58.706232+00:00
17,18,Frozen Realms,Adventure in a world of ice and snow.,2024-03-27 12:18:58.706232+00:00,13,2024-03-27 12:18:58.706232+00:00
18,19,Galaxy Explorers,Explore the galaxy and discover new planets.,2024-03-27 12:18:58.706232+00:00,14,2024-03-27 12:18:58.706232+00:00
19,20,Time Traveler,A game about the adventures of time travel.,2024-03-27 12:18:58.706232+00:00,15,2024-03-27 12:18:58.706232+00:00
